Classification,Attachment Count,Attachment Extension,Email From,Email Subject
NotSpam,0,,john.doe@example.com,Meeting Tomorrow
Spam,2,pdf,xavier@example.net,Claim Your Prize Now!
NotSpam,1,docx,info@company.com,Weekly Newsletter
Spam,0,,noreply@lottery.org,You've Won $1000000!
NotSpam,3,png,jane.smith@example.com,Photos from the Event
Spam,1,zip,support@pharmacy.biz,Get Viagra for Less
NotSpam,0,,info@newsletter.com,Special Offer Inside
Spam,0,,prince@nigeria.com,Help Needed Urgently
NotSpam,2,pdf,marketing@company.com,New Product Catalog
NotSpam,0,,contact@website.com,Your Order Confirmation
Spam,1,pdf,deals@shop.com,Exclusive Discount Inside
NotSpam,0,,service@bank.com,Statement of Account
Spam,0,,updates@social.net,See Who Unfollowed You
NotSpam,0,,support@software.com,Product Update Available
Spam,3,exe,bill@microsoft.com,Activate Windows Now!
NotSpam,1,docx,hr@company.com,Job Application Status
NotSpam,0,,newsletter@mail.com,Subscribe to Our Newsletter
Spam,0,,noreply@offers.org,You've Won a Holiday Package!
NotSpam,2,pdf,sales@ecommerce.com,Your Invoice Attached
Spam,0,,debt@settlement.net,Get Out of Debt Fast
NotSpam,0,,info@company.com,Monthly Report
NotSpam,1,pdf,clientservice@website.com,Your Subscription Renewal
NotSpam,0,,support@software.com,Software Maintenance Update
NotSpam,0,,info@newsletter.com,Weekly Update
NotSpam,2,pdf,marketing@company.com,New Product Launch
NotSpam,0,,contact@website.com,Your Inquiry Response
NotSpam,0,,billing@service.com,Payment Confirmation
NotSpam,1,docx,hr@company.com,Job Application Confirmation
NotSpam,0,,newsletter@mail.com,Subscribe to Our Newsletter
NotSpam,2,pdf,sales@ecommerce.com,Your Order Shipment
NotSpam,0,,info@conference.org,Event Reminder: Next Week
NotSpam,0,,support@software.com,Product Update Available
Spam,0,,cupones@descuentos.com,¡Obtén cupones de descuento instantáneos ahora mismo!
Spam,0,,encuestas@opiniones.com,Gana dinero extra completando nuestras encuestas en línea
Spam,2,pdf,ofertas@promociones.com,¡Aprovecha nuestras nuevas ofertas de temporada y ahorra mucho más!
NotSpam,0,,info@empresa.com,¡Anuncio importante sobre nuestros nuevos productos!
NotSpam,1,pdf,clientes@tienda.com,Confirmación de compra y detalle de factura adjunto
NotSpam,0,,soporte@software.com,Actualización importante: Nueva versión disponible
NotSpam,0,,info@boletin.com,¡Suscríbete ahora para recibir nuestras últimas noticias!
NotSpam,2,pdf,ventas@empresa.com,Catálogo de productos actualizado para esta temporada
NotSpam,0,,contacto@sitio.com,Respuesta a tu consulta sobre nuestros servicios
NotSpam,0,,facturacion@servicio.com,Confirmación de pago y recibo adjunto
NotSpam,1,docx,rrhh@empresa.com,Confirmación de entrevista y detalles de posición
NotSpam,0,,noticias@sitio.com,¡Únete a nuestra comunidad y mantente informado!
NotSpam,2,pdf,ventas@ecommerce.com,Detalle de tu pedido y fecha de entrega estimada
NotSpam,1,pdf,customerservice@retail.com,Return Authorization
NotSpam,0,,hello@company.com,Welcome to Our Platform
NotSpam,0,,billing@company.com,Payment Receipt
NotSpam,0,,newsletter@updates.com,Subscribe to Our Updates
NotSpam,0,,support@service.com,Product Demo Invitation
NotSpam,0,,newsletter@mail.com,Subscribe to Our Newsletter
NotSpam,2,pdf,marketing@company.com,New Campaign Launch
NotSpam,0,,support@service.com,Help Desk Ticket Confirmation
NotSpam,0,,newsletter@updates.com,Subscribe to Our Updates
NotSpam,0,,billing@company.com,Invoice Attached
NotSpam,0,,newsletter@mail.com,Subscribe to Our Newsletter
NotSpam,2,pdf,marketing@company.com,Product Launch Announcement
NotSpam,0,,support@service.com,Issue Resolved: Ticket #12345
NotSpam,0,,newsletter@updates.com,Subscribe to Our Updates
NotSpam,1,pdf,sales@ecommerce.com,Your Receipt Attached
NotSpam,0,,hello@company.com,Thank You for Signing Up
NotSpam,0,,billing@company.com,Payment Due Reminder
NotSpam,0,,newsletter@mail.com,Subscribe to Our Newsletter
NotSpam,2,pdf,marketing@company.com,New Feature Release
NotSpam,0,,support@service.com,Your Support Request Status
NotSpam,0,,newsletter@updates.com,Subscribe to Our Updates
NotSpam,1,pdf,sales@ecommerce.com,Your Invoice
NotSpam,0,,hello@company.com,Welcome Aboard!
NotSpam,0,,billing@company.com,Invoice Reminder
NotSpam,0,,newsletter@mail.com,Subscribe to Our Newsletter
NotSpam,2,pdf,marketing@company.com,New Update Available
NotSpam,0,,support@service.com,Issue Resolved: Ticket #54321
NotSpam,0,,newsletter@updates.com,Subscribe to Our Updates
